stitch_flat_id,stitch_stereo_id,label_umls_id,placebo,frequency_description,frequency_lower,frequency_upper,meddra_concept_type,meddra_umls_id,side_effect_name,is_placebo,sider_version,candidate_name
CID100002118,CID000002118,C0015672,,48.6%,0.486,0.486,PT,C0004093,Asthenia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0015672,,49%,0.49,0.49,PT,C0004093,Asthenia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0015672,placebo,0.6%,0.006,0.006,PT,C0004093,Asthenia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0015672,placebo,42%,0.42,0.42,PT,C0004093,Asthenia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0015672,placebo,42.3%,0.423,0.423,PT,C0004093,Asthenia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0015672,placebo,9.2%,0.092,0.092,PT,C0004093,Asthenia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0004134,,7.2%,0.072,0.072,PT,C0004134,Ataxia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0004134,placebo,3.2%,0.032,0.032,PT,C0004134,Ataxia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0004604,,frequent,0.01,1,PT,C0004604,Back pain,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0015967,,infrequent,0.001,0.01,PT,C0015967,Body temperature increased,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0554976,,infrequent,0.001,0.01,PT,C0554976,Bradyphrenia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0232292,,infrequent,0.001,0.01,PT,C0235710,Chest discomfort,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0008031,,10.6%,0.106,0.106,PT,C0008031,Chest pain,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0008031,,18.1%,0.181,0.181,PT,C0008031,Chest pain,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0008031,,frequent,0.01,1,PT,C0008031,Chest pain,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0008031,placebo,18.1%,0.181,0.181,PT,C0008031,Chest pain,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0424790,,infrequent,0.001,0.01,PT,C0085593,Chills,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0546947,,infrequent,0.001,0.01,PT,C0546947,Choking sensation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0233844,,infrequent,0.001,0.01,PT,C0233844,Clumsiness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009241,,28.8%,0.288,0.288,PT,C0009241,Cognitive disorder,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009241,,29%,0.29,0.29,PT,C0009241,Cognitive disorder,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009241,placebo,20.5%,0.205,0.205,PT,C0009241,Cognitive disorder,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0009241,placebo,21%,0.21,0.21,PT,C0009241,Cognitive disorder,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0392162,,infrequent,0.001,0.01,PT,C0232431,Cold sweat,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009676,,0.9%,0.009,0.009,PT,C0009676,Confusional state,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009676,,1.5%,0.015,0.015,PT,C0009676,Confusional state,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009676,,10%,0.1,0.1,PT,C0009676,Confusional state,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009676,,10.4%,0.104,0.104,PT,C0009676,Confusional state,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009676,,9.9%,0.099,0.099,PT,C0009676,Confusional state,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009676,placebo,0.9%,0.009,0.009,PT,C0009676,Confusional state,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0009676,placebo,10%,0.1,0.1,PT,C0009676,Confusional state,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0009676,placebo,8%,0.08,0.08,PT,C0009676,Confusional state,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0009676,placebo,8.2%,0.082,0.082,PT,C0009676,Confusional state,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0009782,,7.4%,0.074,0.074,PT,C0009782,Connective tissue disorder,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009782,,infrequent,0.001,0.01,PT,C0009782,Connective tissue disorder,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009782,placebo,2.7%,0.027,0.027,PT,C0009782,Connective tissue disorder,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0009806,,0.9%,0.009,0.009,PT,C0009806,Constipation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009806,,10.4%,0.104,0.104,PT,C0009806,Constipation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009806,,15.4%,0.154,0.154,PT,C0009806,Constipation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009806,,26%,0.26,0.26,PT,C0009806,Constipation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009806,,26.2%,0.262,0.262,PT,C0009806,Constipation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009806,,8.1%,0.081,0.081,PT,C0009806,Constipation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0009806,placebo,11.4%,0.114,0.114,PT,C0009806,Constipation,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0009806,placebo,15%,0.15,0.15,PT,C0009806,Constipation,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0009806,placebo,15.4%,0.154,0.154,PT,C0009806,Constipation,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0009806,placebo,4.3%,0.043,0.043,PT,C0009806,Constipation,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0036572,,infrequent,0.001,0.01,PT,C0036572,Convulsion,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0520966,,1.9%,0.019,0.019,PT,C0520966,Coordination abnormal,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0520966,,40%,0.4,0.4,PT,C0520966,Coordination abnormal,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0520966,,40.1%,0.401,0.401,PT,C0520966,Coordination abnormal,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0520966,,9.4%,0.094,0.094,PT,C0520966,Coordination abnormal,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0520966,placebo,0.3%,0.003,0.003,PT,C0520966,Coordination abnormal,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0520966,placebo,0.9%,0.009,0.009,PT,C0520966,Coordination abnormal,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0520966,placebo,17.9%,0.179,0.179,PT,C0520966,Coordination abnormal,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0520966,placebo,18%,0.18,0.18,PT,C0520966,Coordination abnormal,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0003123,,1.5%,0.015,0.015,PT,C0232462,Decreased appetite,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0003123,placebo,0%,0,0,PT,C0232462,Decreased appetite,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0232462,,24.1%,0.241,0.241,PT,C0232462,Decreased appetite,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0232462,,27.8%,0.278,0.278,PT,C0232462,Decreased appetite,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0232462,,28%,0.28,0.28,PT,C0232462,Decreased appetite,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0232462,,7.3%,0.073,0.073,PT,C0232462,Decreased appetite,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0232462,,9.5%,0.095,0.095,PT,C0232462,Decreased appetite,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0232462,placebo,24%,0.24,0.24,PT,C0232462,Decreased appetite,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0232462,placebo,24.1%,0.241,0.241,PT,C0232462,Decreased appetite,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0232462,placebo,3.8%,0.038,0.038,PT,C0232462,Decreased appetite,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0232462,placebo,7.2%,0.072,0.072,PT,C0232462,Decreased appetite,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0232462,placebo,9.8%,0.098,0.098,PT,C0232462,Decreased appetite,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011551,,5.7%,0.057,0.057,PT,C0011551,Depersonalisation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011551,,frequent,0.01,1,PT,C0011551,Depersonalisation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011551,placebo,1.9%,0.019,0.019,PT,C0011551,Depersonalisation,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0085628,,infrequent,0.001,0.01,PT,C0549249,Depressed level of consciousness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0549249,,infrequent,0.001,0.01,PT,C0549249,Depressed level of consciousness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0344315,,1.3%,0.013,0.013,PT,C0344315,Depressed mood,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0344315,placebo,0.3%,0.003,0.003,PT,C0344315,Depressed mood,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011570,,10.9%,0.109,0.109,PT,C0011570,Depression,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011570,,12.1%,0.121,0.121,PT,C0011570,Depression,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011570,,13.8%,0.138,0.138,PT,C0011570,Depression,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011570,,13.9%,0.139,0.139,PT,C0011570,Depression,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011570,,2.4%,0.024,0.024,PT,C0011570,Depression,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011570,,2.5%,0.025,0.025,PT,C0011570,Depression,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011570,placebo,1.2%,0.012,0.012,PT,C0011570,Depression,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011570,placebo,14%,0.14,0.14,PT,C0011570,Depression,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011570,placebo,18.1%,0.181,0.181,PT,C0011570,Depression,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011570,placebo,5%,0.05,0.05,PT,C0011570,Depression,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011570,placebo,9.2%,0.092,0.092,PT,C0011570,Depression,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0233754,,1.2%,0.012,0.012,PT,C0233754,Derealisation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0233754,,1.9%,0.019,0.019,PT,C0233754,Derealisation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0233754,,2%,0.02,0.02,PT,C0233754,Derealisation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0233754,,8%,0.08,0.08,PT,C0233754,Derealisation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0233754,,frequent,0.01,1,PT,C0233754,Derealisation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0233754,placebo,1%,0.01,0.01,PT,C0233754,Derealisation,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0233754,placebo,1.2%,0.012,0.012,PT,C0233754,Derealisation,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0233754,placebo,3.8%,0.038,0.038,PT,C0233754,Derealisation,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011603,,0.6%,0.006,0.006,PT,C0011603,Dermatitis,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011603,,3.8%,0.038,0.038,PT,C0011603,Dermatitis,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011603,,4%,0.04,0.04,PT,C0011603,Dermatitis,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011603,placebo,3%,0.03,0.03,PT,C0011603,Dermatitis,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011603,placebo,3.1%,0.031,0.031,PT,C0011603,Dermatitis,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0015230,,10.8%,0.108,0.108,PT,C0011603,Dermatitis,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0015230,,11%,0.11,0.11,PT,C0011603,Dermatitis,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0015230,,8.1%,0.081,0.081,PT,C0011603,Dermatitis,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0015230,,infrequent,0.001,0.01,PT,C0011603,Dermatitis,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0015230,placebo,8%,0.08,0.08,PT,C0011603,Dermatitis,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0015230,placebo,8.1%,0.081,0.081,PT,C0011603,Dermatitis,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011991,,1.2%,0.012,0.012,PT,C0011991,Diarrhoea,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011991,,10.1%,0.101,0.101,PT,C0011991,Diarrhoea,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011991,,12.1%,0.121,0.121,PT,C0011991,Diarrhoea,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011991,,20.6%,0.206,0.206,PT,C0011991,Diarrhoea,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011991,,22.8%,0.228,0.228,PT,C0011991,Diarrhoea,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011991,,frequent,0.01,1,PT,C0011991,Diarrhoea,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011991,placebo,10.3%,0.103,0.103,PT,C0011991,Diarrhoea,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011991,placebo,22.8%,0.228,0.228,PT,C0011991,Diarrhoea,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011991,placebo,3.1%,0.031,0.031,PT,C0011991,Diarrhoea,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0231218,,frequent,0.01,1,PT,C0234215,Discomfort,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0424296,,1.5%,0.015,0.015,PT,C0424296,Disinhibition,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0424296,,2.7%,0.027,0.027,PT,C0424296,Disinhibition,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0424296,,3%,0.03,0.03,PT,C0424296,Disinhibition,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0424296,placebo,1.5%,0.015,0.015,PT,C0424296,Disinhibition,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0424296,placebo,2%,0.02,0.02,PT,C0424296,Disinhibition,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0233407,,1.5%,0.015,0.015,PT,C0233407,Disorientation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0233407,placebo,0%,0,0,PT,C0233407,Disorientation,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0233414,,3.2%,0.032,0.032,PT,C0233414,Disturbance in attention,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0233414,placebo,0.6%,0.006,0.006,PT,C0233414,Disturbance in attention,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011124,,14%,0.14,0.14,PT,C0855242,Disturbance in sexual arousal,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011124,,14.4%,0.144,0.144,PT,C0855242,Disturbance in sexual arousal,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011124,,6%,0.06,0.06,PT,C0855242,Disturbance in sexual arousal,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011124,placebo,2.3%,0.023,0.023,PT,C0855242,Disturbance in sexual arousal,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0011124,placebo,8%,0.08,0.08,PT,C0855242,Disturbance in sexual arousal,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0021177,,7.7%,0.077,0.077,PT,C0855242,Disturbance in sexual arousal,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0021177,,8%,0.08,0.08,PT,C0855242,Disturbance in sexual arousal,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0021177,,frequent,0.01,1,PT,C0855242,Disturbance in sexual arousal,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0021177,placebo,4%,0.04,0.04,PT,C0855242,Disturbance in sexual arousal,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0021177,placebo,4.1%,0.041,0.041,PT,C0855242,Disturbance in sexual arousal,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0012833,,1.8%,0.018,0.018,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0012833,,2%,0.02,0.02,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0012833,,2.5%,0.025,0.025,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0012833,,29.8%,0.298,0.298,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0012833,,frequent,0.01,1,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0012833,placebo,0.8%,0.008,0.008,PT,C0012833,Dizziness,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0012833,placebo,1%,0.01,0.01,PT,C0012833,Dizziness,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0012833,placebo,36.9%,0.369,0.369,PT,C0012833,Dizziness,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0039070,,3.1%,0.031,0.031,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0039070,,3.8%,0.038,0.038,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0039070,,4.8%,0.048,0.048,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0039070,,infrequent,0.001,0.01,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0039070,placebo,4%,0.04,0.04,PT,C0012833,Dizziness,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0039070,placebo,4.8%,0.048,0.048,PT,C0012833,Dizziness,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0220870,,1.2%,0.012,0.012,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0220870,,20.8%,0.208,0.208,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0220870,,21%,0.21,0.21,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0220870,,29.8%,0.298,0.298,PT,C0012833,Dizziness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0220870,placebo,19%,0.19,0.19,PT,C0012833,Dizziness,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0220870,placebo,19.3%,0.193,0.193,PT,C0012833,Dizziness,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0220870,placebo,36.9%,0.369,0.369,PT,C0012833,Dizziness,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0043352,,0.7%,0.007,0.007,PT,C0043352,Dry mouth,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0043352,,10.2%,0.102,0.102,PT,C0043352,Dry mouth,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0043352,,14.7%,0.147,0.147,PT,C0043352,Dry mouth,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0043352,,15%,0.15,0.15,PT,C0043352,Dry mouth,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0043352,placebo,13%,0.13,0.13,PT,C0043352,Dry mouth,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0043352,placebo,13.3%,0.133,0.133,PT,C0043352,Dry mouth,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0043352,placebo,9.7%,0.097,0.097,PT,C0043352,Dry mouth,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0013362,,10.9%,0.109,0.109,PT,C0013362,Dysarthria,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0013362,,2.1%,0.021,0.021,PT,C0013362,Dysarthria,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0013362,,23%,0.23,0.23,PT,C0013362,Dysarthria,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0013362,,23.3%,0.233,0.233,PT,C0013362,Dysarthria,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0013362,placebo,0%,0,0,PT,C0013362,Dysarthria,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0013362,placebo,2.6%,0.026,0.026,PT,C0013362,Dysarthria,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0013362,placebo,6%,0.06,0.06,PT,C0013362,Dysarthria,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0013362,placebo,6.3%,0.063,0.063,PT,C0013362,Dysarthria,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0013384,,1.7%,0.017,0.017,PT,C0013384,Dyskinesia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0013384,placebo,1.4%,0.014,0.014,PT,C0013384,Dyskinesia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0392702,,14.8%,0.148,0.148,PT,C0013384,Dyskinesia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0392702,placebo,21%,0.21,0.21,PT,C0013384,Dyskinesia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0013390,,3.6%,0.036,0.036,PT,C0013390,Dysmenorrhoea,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0013390,placebo,2.9%,0.029,0.029,PT,C0013390,Dysmenorrhoea,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0013395,,frequent,0.01,1,PT,C0013395,Dyspepsia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0011168,,infrequent,0.001,0.01,PT,C0011168,Dysphagia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C1527344,,infrequent,0.001,0.01,PT,C1527344,Dysphonia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0013404,,1.5%,0.015,0.015,PT,C0013404,Dyspnoea,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0013404,placebo,0.3%,0.003,0.003,PT,C0013404,Dyspnoea,TRUE,4.1,alprazolam
