query_id,query_name,query_class,sider_stitch_flat_id,sider_drug_name,sider_pubchem_cid,sider_inchi_key,atc_codes,unique_side_effect_count,tanimoto_similarity,tanimoto_distance,similarity_band,rank_for_query
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100004158,methylphenidate,4158,DUGOZIWVEXMGBE-UHFFFAOYSA-N,N06BA04; N06BA11,295,0.19387755102040816,0.8061224489795918,structurally_distant_under_this_fingerprint,11
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100071360,iloperidone,71360,XMXHEBAFVSFQEX-UHFFFAOYSA-N,,146,0.19327731092436976,0.8067226890756303,structurally_distant_under_this_fingerprint,12
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100216210,dabigatran,216210,YBSJFWOBGCMAKL-UHFFFAOYSA-N,,39,0.19166666666666668,0.8083333333333333,structurally_distant_under_this_fingerprint,13
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100003405,folate,3405,OVBPIULPVIDEAO-UHFFFAOYSA-N,B03BB01,26,0.19130434782608696,0.808695652173913,structurally_distant_under_this_fingerprint,14
CHEMBL1802814,CHEMBL1802814,network_candidate,CID109869929,avanafil,9869929,WEAJZXNPAWBCOA-INIZCTEOSA-N,,108,0.19047619047619047,0.8095238095238095,structurally_distant_under_this_fingerprint,15
CHEMBL1802814,CHEMBL1802814,network_candidate,CID116130957,Org,16130957,GJNXBNATEDXMAK-PFLSVRRQSA-N,H01CC01,47,0.1901840490797546,0.8098159509202454,structurally_distant_under_this_fingerprint,16
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100002159,amisulpride,2159,NTJOBXMMWNYJFB-UHFFFAOYSA-N,N05AL05,80,0.1891891891891892,0.8108108108108107,structurally_distant_under_this_fingerprint,17
CHEMBL1802814,CHEMBL1802814,network_candidate,CID110182969,apixaban,10182969,QNZCBYKSOIHPEH-UHFFFAOYSA-N,,98,0.1891891891891892,0.8108108108108107,structurally_distant_under_this_fingerprint,18
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100003715,indomethacin,3715,CGIGDMFJXJATDK-UHFFFAOYSA-N,C01EB03; M01AB01; M02AA23; S01BC01,175,0.18867924528301888,0.8113207547169812,structurally_distant_under_this_fingerprint,19
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100002092,alfuzosin,2092,WNMJYKCGWZFFKR-UHFFFAOYSA-N,G04CA01,94,0.18803418803418803,0.811965811965812,structurally_distant_under_this_fingerprint,20
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100093860,bortezomib,93860,GXJABQQUPOEUTA-NVXWUHKLSA-N,L01XX32,588,0.23232323232323232,0.7676767676767677,structurally_distant_under_this_fingerprint,1
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100004915,procarbazine,4915,CPTBDICYNRMXFX-UHFFFAOYSA-N,L01XB01,122,0.2289156626506024,0.7710843373493976,structurally_distant_under_this_fingerprint,2
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100000146,5-methyltetrahydrofolate,146,ZNOVTXRBGFNYRX-UHFFFAOYSA-N,,1,0.22727272727272727,0.7727272727272727,structurally_distant_under_this_fingerprint,3
CHEMBL1802815,CHEMBL1802815,network_candidate,CID109825285,azilsartan,9825285,KGSXMPPBFPAXLY-UHFFFAOYSA-N,,22,0.22641509433962265,0.7735849056603774,structurally_distant_under_this_fingerprint,4
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100065999,telmisartan,65999,RMMXLENWKUUMAY-UHFFFAOYSA-N,C09CA07,181,0.22018348623853212,0.7798165137614679,structurally_distant_under_this_fingerprint,5
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100060787,saquinavir,60787,QWAXKHKRTORLEM-LINFGICFSA-N,J05AE01,327,0.21951219512195122,0.7804878048780488,structurally_distant_under_this_fingerprint,6
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100130881,olmesartan,130881,UQGKUQLKSCSZGY-UHFFFAOYSA-N,C09CA08,55,0.2184873949579832,0.7815126050420168,structurally_distant_under_this_fingerprint,7
CHEMBL1802815,CHEMBL1802815,network_candidate,CID111556711,Carfilzomib,11556711,BLMPQMFVWMYDKT-NZTKNTHTSA-N,,62,0.21818181818181817,0.7818181818181819,structurally_distant_under_this_fingerprint,8
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100216210,dabigatran,216210,YBSJFWOBGCMAKL-UHFFFAOYSA-N,,39,0.21818181818181817,0.7818181818181819,structurally_distant_under_this_fingerprint,9
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100003759,isocarboxazid,3759,XKFPYPQQHFEXRZ-UHFFFAOYSA-N,N06AF01,41,0.2159090909090909,0.7840909090909091,structurally_distant_under_this_fingerprint,10
CHEMBL1802815,CHEMBL1802815,network_candidate,CID111597697,lisdexamfetamine,11597697,CETWSOHVEGTIBR-FORAGAHYSA-N,,78,0.21505376344086022,0.7849462365591398,structurally_distant_under_this_fingerprint,11
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100002541,candesartan,2541,HTQMVQVXFRQIKW-UHFFFAOYSA-N,C09CA06,78,0.21495327102803738,0.7850467289719626,structurally_distant_under_this_fingerprint,12
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100158781,olmesartan,158781,VTRAEEWXHOVJFV-UHFFFAOYSA-N,,147,0.21495327102803738,0.7850467289719626,structurally_distant_under_this_fingerprint,13
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100005076,ritonavir,5076,NCDNCNXCDXHOMX-UHFFFAOYSA-N,J05AE03,319,0.21311475409836064,0.7868852459016393,structurally_distant_under_this_fingerprint,14
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100000143,leucovorin,143,VVIAGPKUTFNRDU-UHFFFAOYSA-N,V03AF03; V03AF04; V03AF06,53,0.21238938053097345,0.7876106194690266,structurally_distant_under_this_fingerprint,15
CHEMBL1802815,CHEMBL1802815,network_candidate,CID111238823,azilsartan,11238823,QJFSABGVXDWMIW-UHFFFAOYSA-N,,20,0.211864406779661,0.788135593220339,structurally_distant_under_this_fingerprint,16
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100004443,nateglinide,4443,OELFLUMRDSZNSF-UHFFFAOYSA-N,A10BX03,40,0.2087912087912088,0.7912087912087912,structurally_distant_under_this_fingerprint,17
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100050294,nedocromil,50294,RQTOOFIXOKYGAN-UHFFFAOYSA-N,R01AC07; R03BC03; S01GX04,51,0.20833333333333334,0.7916666666666666,structurally_distant_under_this_fingerprint,18
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100003869,labetalol,3869,SGUAFYQXFOLMHL-UHFFFAOYSA-N,C07AG01,108,0.20618556701030927,0.7938144329896908,structurally_distant_under_this_fingerprint,19
CHEMBL1802815,CHEMBL1802815,network_candidate,CID100148192,atazanavir,148192,AXRYRYVKAWYZBR-GASGPIRDSA-N,J05AE08,213,0.20535714285714285,0.7946428571428572,structurally_distant_under_this_fingerprint,20
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100004499,nisoldipine,4499,VKQFCGNPDRICFG-UHFFFAOYSA-N,C08CA07,142,0.23157894736842105,0.7684210526315789,structurally_distant_under_this_fingerprint,1
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100004915,procarbazine,4915,CPTBDICYNRMXFX-UHFFFAOYSA-N,L01XB01,122,0.21951219512195122,0.7804878048780488,structurally_distant_under_this_fingerprint,2
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100077992,frovatriptan,77992,XPSQPHWEGNHMSK-SECBINFHSA-N,N02CC07,147,0.21739130434782608,0.782608695652174,structurally_distant_under_this_fingerprint,3
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100004497,nimodipine,4497,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,C08CA06,50,0.21212121212121213,0.7878787878787878,structurally_distant_under_this_fingerprint,4
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100115355,NTBC,115355,OUBCNLGXQFSTLU-UHFFFAOYSA-N,A16AX04,56,0.2111111111111111,0.7888888888888889,structurally_distant_under_this_fingerprint,5
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100000146,5-methyltetrahydrofolate,146,ZNOVTXRBGFNYRX-UHFFFAOYSA-N,,1,0.20909090909090908,0.7909090909090909,structurally_distant_under_this_fingerprint,6
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100000143,leucovorin,143,VVIAGPKUTFNRDU-UHFFFAOYSA-N,V03AF03; V03AF04; V03AF06,53,0.20535714285714285,0.7946428571428572,structurally_distant_under_this_fingerprint,7
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100003397,flutamide,3397,MKXKFYHWDHIYRV-UHFFFAOYSA-N,L02BB01,80,0.20224719101123595,0.797752808988764,structurally_distant_under_this_fingerprint,8
CHEMBL1802973,CHEMBL1802973,network_candidate,CID104659569,tolcapone,4659569,MIQPIUSUKVNLNT-UHFFFAOYSA-N,N04BX01,253,0.19767441860465115,0.8023255813953488,structurally_distant_under_this_fingerprint,9
CHEMBL1802973,CHEMBL1802973,network_candidate,CID140468184,acenocoumarol,40468184,WWBYDEQHYAEHLT-HNNXBMFYSA-M,B01AA07,26,0.19387755102040816,0.8061224489795918,structurally_distant_under_this_fingerprint,10
CHEMBL1802973,CHEMBL1802973,network_candidate,CID111556711,Carfilzomib,11556711,BLMPQMFVWMYDKT-NZTKNTHTSA-N,,62,0.1891891891891892,0.8108108108108107,structurally_distant_under_this_fingerprint,11
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100004485,nifedipine,4485,HYIMSNHJOBLJNT-UHFFFAOYSA-N,C08CA05,240,0.18888888888888888,0.8111111111111111,structurally_distant_under_this_fingerprint,12
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100003488,glibenclamide,3488,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,A10BB01,86,0.18518518518518517,0.8148148148148149,structurally_distant_under_this_fingerprint,13
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100002881,sodium,2881,IMZMKUWMOSJXDT-UHFFFAOYSA-L,A07EB01; D11AH03; R01AC01; R03BC01; S01GX01,106,0.18478260869565216,0.8152173913043479,structurally_distant_under_this_fingerprint,14
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100003478,glipizide,3478,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,A10BB07,93,0.18269230769230768,0.8173076923076923,structurally_distant_under_this_fingerprint,15
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100004158,methylphenidate,4158,DUGOZIWVEXMGBE-UHFFFAOYSA-N,N06BA04; N06BA11,295,0.17777777777777778,0.8222222222222222,structurally_distant_under_this_fingerprint,16
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100003405,folate,3405,OVBPIULPVIDEAO-UHFFFAOYSA-N,B03BB01,26,0.17757009345794392,0.822429906542056,structurally_distant_under_this_fingerprint,17
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100003510,granisetron,3510,MFWNKCLOYSRHCJ-UHFFFAOYSA-N,A04AA02,121,0.17708333333333334,0.8229166666666666,structurally_distant_under_this_fingerprint,18
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100002177,amprenavir,2177,YMARZQAQMVYCKC-UHFFFAOYSA-N,J05AE05,63,0.17699115044247787,0.8230088495575221,structurally_distant_under_this_fingerprint,19
CHEMBL1802973,CHEMBL1802973,network_candidate,CID100004547,repaglinide,4547,FAEKWTJYAYMJKF-UHFFFAOYSA-N,A10BX02,64,0.17592592592592593,0.8240740740740741,structurally_distant_under_this_fingerprint,20
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100644241,nilotinib,644241,HHZIURLSWUIHRB-UHFFFAOYSA-N,L01XE08,339,0.4891304347826087,0.5108695652173914,weak_or_partial_similarity,1
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100005291,imatinib,5291,KTUFNOKKBVMGRW-UHFFFAOYSA-N,L01XE01,323,0.40425531914893614,0.5957446808510638,weak_or_partial_similarity,2
CHEMBL3752910,CHEMBL3752910,network_candidate,CID124826799,ponatinib,24826799,PHXJVRSECIGDHY-UHFFFAOYSA-N,,179,0.3113207547169811,0.6886792452830188,weak_or_partial_similarity,3
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100003899,leflunomide,3899,VHOGYURTWQBHIL-UHFFFAOYSA-N,L04AA13,218,0.25609756097560976,0.7439024390243902,structurally_distant_under_this_fingerprint,4
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100004174,metyrapone,4174,FJLBFSROUSIWMA-UHFFFAOYSA-N,V04CD01,21,0.24675324675324675,0.7532467532467533,structurally_distant_under_this_fingerprint,5
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100041781,torasemide,41781,NGBFQHCMQULJNZ-UHFFFAOYSA-N,C03CA04,55,0.2391304347826087,0.7608695652173914,structurally_distant_under_this_fingerprint,6
CHEMBL3752910,CHEMBL3752910,network_candidate,CID110113978,pazopanib,10113978,CUIHSIWYWATEQL-UHFFFAOYSA-N,L01XE11,213,0.21568627450980393,0.7843137254901961,structurally_distant_under_this_fingerprint,7
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100156418,cinacalcet,156418,QANQWUQOEJZMLL-PKLMIRHRSA-N,H05BX01,58,0.20652173913043478,0.7934782608695652,structurally_distant_under_this_fingerprint,8
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100002250,atorvastatin,2250,XUKUURHRXDUEBC-UHFFFAOYSA-N,C10AA05,209,0.20388349514563106,0.7961165048543689,structurally_distant_under_this_fingerprint,9
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100151171,conivaptan,151171,IKENVDNFQMCRTR-UHFFFAOYSA-N,C03XA02,60,0.20388349514563106,0.7961165048543689,structurally_distant_under_this_fingerprint,10
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100000937,niacin,937,PVNIIMVLHYAWGP-UHFFFAOYSA-M,C04AC01; C10AD02,156,0.20270270270270271,0.7972972972972973,structurally_distant_under_this_fingerprint,11
CHEMBL3752910,CHEMBL3752910,network_candidate,CID103062316,dasatinib,3062316,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,L01XE06,273,0.2,0.8,structurally_distant_under_this_fingerprint,12
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100047528,nicorandil,47528,LBHIOVVIQHSOQN-UHFFFAOYSA-N,C01DX16,87,0.19540229885057472,0.8045977011494253,structurally_distant_under_this_fingerprint,13
CHEMBL3752910,CHEMBL3752910,network_candidate,CID111167602,regorafenib,11167602,FNHKPVJBJVTLMP-UHFFFAOYSA-N,,85,0.19230769230769232,0.8076923076923077,structurally_distant_under_this_fingerprint,14
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100216239,sorafenib,216239,MLDQJTXFUGDVEO-UHFFFAOYSA-N,L01XE05,180,0.1919191919191919,0.8080808080808081,structurally_distant_under_this_fingerprint,15
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100005717,zafirlukast,5717,YEEZWCHGZNKEEK-UHFFFAOYSA-N,R03DC01,69,0.1896551724137931,0.8103448275862069,structurally_distant_under_this_fingerprint,16
CHEMBL3752910,CHEMBL3752910,network_candidate,CID154677977,A77,54677977,UTNUDOFZCWSZMS-UHFFFAOYSA-N,,99,0.18823529411764706,0.8117647058823529,structurally_distant_under_this_fingerprint,17
CHEMBL3752910,CHEMBL3752910,network_candidate,CID111707110,trametinib,11707110,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,,134,0.1875,0.8125,structurally_distant_under_this_fingerprint,18
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100004062,mepivacaine,4062,INWLQCZOYSRPNW-UHFFFAOYSA-N,N01BB03,54,0.18604651162790697,0.813953488372093,structurally_distant_under_this_fingerprint,19
CHEMBL3752910,CHEMBL3752910,network_candidate,CID100004044,mefenamic,4044,HYYBABOKPJLUIN-UHFFFAOYSA-N,M01AG01,140,0.18518518518518517,0.8148148148148149,structurally_distant_under_this_fingerprint,20
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100644241,nilotinib,644241,HHZIURLSWUIHRB-UHFFFAOYSA-N,L01XE08,339,0.5054945054945055,0.4945054945054945,moderate_similarity,1
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100005291,imatinib,5291,KTUFNOKKBVMGRW-UHFFFAOYSA-N,L01XE01,323,0.40425531914893614,0.5957446808510638,weak_or_partial_similarity,2
CHEMBL5653589,CHEMBL5653589,network_candidate,CID124826799,ponatinib,24826799,PHXJVRSECIGDHY-UHFFFAOYSA-N,,179,0.29906542056074764,0.7009345794392523,structurally_distant_under_this_fingerprint,3
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100003899,leflunomide,3899,VHOGYURTWQBHIL-UHFFFAOYSA-N,L04AA13,218,0.25609756097560976,0.7439024390243902,structurally_distant_under_this_fingerprint,4
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100004174,metyrapone,4174,FJLBFSROUSIWMA-UHFFFAOYSA-N,V04CD01,21,0.24675324675324675,0.7532467532467533,structurally_distant_under_this_fingerprint,5
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100041781,torasemide,41781,NGBFQHCMQULJNZ-UHFFFAOYSA-N,C03CA04,55,0.2391304347826087,0.7608695652173914,structurally_distant_under_this_fingerprint,6
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100156418,cinacalcet,156418,QANQWUQOEJZMLL-PKLMIRHRSA-N,H05BX01,58,0.20652173913043478,0.7934782608695652,structurally_distant_under_this_fingerprint,7
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100002250,atorvastatin,2250,XUKUURHRXDUEBC-UHFFFAOYSA-N,C10AA05,209,0.20388349514563106,0.7961165048543689,structurally_distant_under_this_fingerprint,8
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100151171,conivaptan,151171,IKENVDNFQMCRTR-UHFFFAOYSA-N,C03XA02,60,0.20388349514563106,0.7961165048543689,structurally_distant_under_this_fingerprint,9
CHEMBL5653589,CHEMBL5653589,network_candidate,CID110113978,pazopanib,10113978,CUIHSIWYWATEQL-UHFFFAOYSA-N,L01XE11,213,0.20388349514563106,0.7961165048543689,structurally_distant_under_this_fingerprint,10
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100000937,niacin,937,PVNIIMVLHYAWGP-UHFFFAOYSA-M,C04AC01; C10AD02,156,0.20270270270270271,0.7972972972972973,structurally_distant_under_this_fingerprint,11
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100005717,zafirlukast,5717,YEEZWCHGZNKEEK-UHFFFAOYSA-N,R03DC01,69,0.2,0.8,structurally_distant_under_this_fingerprint,12
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100003397,flutamide,3397,MKXKFYHWDHIYRV-UHFFFAOYSA-N,L02BB01,80,0.19540229885057472,0.8045977011494253,structurally_distant_under_this_fingerprint,13
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100047528,nicorandil,47528,LBHIOVVIQHSOQN-UHFFFAOYSA-N,C01DX16,87,0.19540229885057472,0.8045977011494253,structurally_distant_under_this_fingerprint,14
CHEMBL5653589,CHEMBL5653589,network_candidate,CID111167602,regorafenib,11167602,FNHKPVJBJVTLMP-UHFFFAOYSA-N,,85,0.19230769230769232,0.8076923076923077,structurally_distant_under_this_fingerprint,15
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100216239,sorafenib,216239,MLDQJTXFUGDVEO-UHFFFAOYSA-N,L01XE05,180,0.1919191919191919,0.8080808080808081,structurally_distant_under_this_fingerprint,16
CHEMBL5653589,CHEMBL5653589,network_candidate,CID103062316,dasatinib,3062316,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,L01XE06,273,0.1891891891891892,0.8108108108108107,structurally_distant_under_this_fingerprint,17
CHEMBL5653589,CHEMBL5653589,network_candidate,CID154677977,A77,54677977,UTNUDOFZCWSZMS-UHFFFAOYSA-N,,99,0.18823529411764706,0.8117647058823529,structurally_distant_under_this_fingerprint,18
CHEMBL5653589,CHEMBL5653589,network_candidate,CID111707110,trametinib,11707110,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,,134,0.1875,0.8125,structurally_distant_under_this_fingerprint,19
CHEMBL5653589,CHEMBL5653589,network_candidate,CID100004062,mepivacaine,4062,INWLQCZOYSRPNW-UHFFFAOYSA-N,N01BB03,54,0.18604651162790697,0.813953488372093,structurally_distant_under_this_fingerprint,20
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID100068613,atosiban,68613,VWXRQYYUEIYXCZ-AVTFEHRISA-N,G02CX01,31,0.24719101123595505,0.752808988764045,structurally_distant_under_this_fingerprint,1
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID116130295,BPTI,16130295,ZPNFWUPYTFPOJU-LPYSRVMUSA-N,B02AB01,108,0.21875,0.78125,structurally_distant_under_this_fingerprint,2
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID116137271,insulin,16137271,UGOZVNFCFYTPAZ-IOXYNQHNSA-N,A10AE05,255,0.21481481481481482,0.7851851851851852,structurally_distant_under_this_fingerprint,3
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID116129672,Insulin,16129672,PBGKTOXHQIOBKM-FHFVDXKLSA-N,A10AB01; A10AB02; A10AB03; A10AC01; A10AC02; A10AC03; A10AD01; A10AD02; A10AD03; A10AE01; A10AE02; A10AE03; A10AF01,159,0.21052631578947367,0.7894736842105263,structurally_distant_under_this_fingerprint,4
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID144146714,Lantus,44146714,COCFEDIXXNGUNL-RFKWWTKHSA-N,A10AE04,89,0.21052631578947367,0.7894736842105263,structurally_distant_under_this_fingerprint,5
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID100062819,Metrodin,62819,ZDRRIRUAESZNIH-UHFFFAOYSA-N,G03GA04,230,0.20930232558139536,0.7906976744186046,structurally_distant_under_this_fingerprint,6
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID116129703,Revasc,16129703,XYWBJDRHGNULKG-OUMQNGNKSA-N,B01AE01,58,0.20930232558139536,0.7906976744186046,structurally_distant_under_this_fingerprint,7
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID122834577,nesiritide,22834577,KSFAMFKTRGJQKV-VJLHJAMZSA-N,C01DX19,30,0.2024793388429752,0.7975206611570248,structurally_distant_under_this_fingerprint,8
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID100002443,bromocriptine,2443,OZVBMTJYIDMWIL-UHFFFAOYSA-N,G02CB01; N04BC01,138,0.20238095238095238,0.7976190476190477,structurally_distant_under_this_fingerprint,9
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID116136245,degarelix,16136245,MEUCPCLKGZSHTA-XYAYPHGZSA-N,L02BX02,112,0.20202020202020202,0.797979797979798,structurally_distant_under_this_fingerprint,10
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID116158207,linaclotide,16158207,KWFNVZFWXXEJKL-YZDVLOIKSA-N,,36,0.20108695652173914,0.7989130434782609,structurally_distant_under_this_fingerprint,11
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID116131215,Abarelix,16131215,AIWRTTMUVOZGPW-HSPKUQOVSA-N,L02BX01,23,0.20103092783505155,0.7989690721649485,structurally_distant_under_this_fingerprint,12
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID100005771,oxytocin,5771,XNOPRXBHLZRZKH-UHFFFAOYSA-N,H01BB02,49,0.2,0.8,structurally_distant_under_this_fingerprint,13
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID100072081,Terlipressin,72081,BENFXAYNYRLAIU-QSVFAHTRSA-N,H01BA04,42,0.19444444444444445,0.8055555555555556,structurally_distant_under_this_fingerprint,14
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID116130957,Org,16130957,GJNXBNATEDXMAK-PFLSVRRQSA-N,H01CC01,47,0.19270833333333334,0.8072916666666666,structurally_distant_under_this_fingerprint,15
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID100443379,CAS,443379,LZFZMUMEGBBDTC-SNPRPXQTSA-N,,122,0.19117647058823528,0.8088235294117647,structurally_distant_under_this_fingerprint,16
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID100002019,actinomycin,2019,RJURFGZVJUQBHK-UHFFFAOYSA-N,L01DA01,69,0.1907514450867052,0.8092485549132948,structurally_distant_under_this_fingerprint,17
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID100003251,ergotamine,3251,XCGSFFUVFURLIX-UHFFFAOYSA-N,N02CA02,21,0.19047619047619047,0.8095238095238095,structurally_distant_under_this_fingerprint,18
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID100166548,Anidulafungin,166548,JHVAMHSQVVQIOT-MFAJLEFUSA-N,J02AX06,120,0.1896551724137931,0.8103448275862069,structurally_distant_under_this_fingerprint,19
REF_DIDEMNIN_B,Didemnin B,reference_ligand,CID116129704,Bivalirudin,16129704,OIRCOABEOLEUMC-GEJPAHFPSA-N,B01AE06,108,0.18716577540106952,0.8128342245989305,structurally_distant_under_this_fingerprint,20
CHEMBL1232461,MOLIBRESIB,network_candidate,CID100002118,alprazolam,2118,VREFGVBLTWBCJP-UHFFFAOYSA-N,N05BA12,199,0.3333333333333333,0.6666666666666667,weak_or_partial_similarity,1
